product_name,date,quantity_sold
Apples,2022-01-01,10486
Apples,2022-01-02,19720
Apples,2022-01-03,26220
Apples,2022-01-04,5244
Apples,2022-01-06,5324
Apples,2022-01-08,5459
Apples,2022-01-18,6368
Apples,2022-01-25,1480
Apples,2022-01-25,35916
Apples,2022-01-28,18832
Apples,2022-02-08,1934
Apples,2022-02-09,31269
Apples,2022-02-11,2016
Apples,2022-02-11,4428
Apples,2022-02-16,7225
Apples,2022-02-22,23775
Apples,2022-02-24,6561
Apples,2022-02-26,9114
Apples,2022-03-01,10019
Apples,2022-03-05,9457
Apples,2022-03-07,5596
Apples,2022-03-08,8877
Apples,2022-03-08,2888
Apples,2022-03-10,3780
Apples,2022-03-14,11254
Apples,2022-03-20,26366
Apples,2022-03-21,17702
Apples,2022-03-25,19568
Apples,2022-03-30,12004
Apples,2022-03-31,30992
Apples,2022-03-31,3979
Apples,2022-04-03,11609
Apples,2022-04-06,23229
Apples,2022-04-07,6214
Apples,2022-04-08,894
Apples,2022-04-14,4597
Apples,2022-04-15,13801
Apples,2022-04-16,3285
Apples,2022-04-19,11692
Apples,2022-04-22,1525
Apples,2022-04-26,992
Apples,2022-05-01,38975
Apples,2022-05-01,2279
Apples,2022-05-12,2079
Apples,2022-05-13,1042
Apples,2022-05-14,18684
Apples,2022-05-18,8904
Apples,2022-05-19,14351
Apples,2022-05-19,12725
Apples,2022-05-20,4484
Apples,2022-05-20,26456
Apples,2022-05-28,20760
Apples,2022-05-28,369
Apples,2022-06-06,11275
Apples,2022-06-07,2629
Apples,2022-06-07,5550
Apples,2022-06-08,4488
Apples,2022-06-09,1641
Apples,2022-06-17,9777
Apples,2022-06-21,1553
Apples,2022-06-22,33713
Apples,2022-06-25,15417
Apples,2022-06-25,972
Apples,2022-07-04,5649
Apples,2022-07-06,3364
Apples,2022-07-13,17034
Apples,2022-07-13,28944
Apples,2022-07-18,8975
Apples,2022-07-18,1980
Apples,2022-07-20,10693
Apples,2022-07-23,41661
Apples,2022-07-24,6781
Apples,2022-07-27,10836
Apples,2022-08-01,24024
Apples,2022-08-03,23348
Apples,2022-08-05,1139
Apples,2022-08-10,17064
Apples,2022-08-11,29603
